date,ret_sc20,nav_sc20,tpy_sc20,ret_N4,nav_N4,tpy_N4,ret_X4,nav_X4,tpy_X4
1974-01-02,0.0000000000,1.0000000000,35.2291000000,-0.0000024700,0.9999975300,35.2291000000,-0.0000026395,0.9999973605,35.2291000000
1974-01-03,-0.0000131776,0.9999868224,35.2291000000,0.0157283826,1.0157258737,35.2291000000,0.0180288857,1.0180261986,35.2291000000
1974-01-04,-0.0000131776,0.9999736449,35.2291000000,-0.0056229515,1.0100144964,35.2291000000,-0.0064936797,1.0114154625,35.2291000000
1974-01-07,-0.0000131776,0.9999604677,35.2291000000,0.0023436056,1.0123815721,35.2291000000,0.0027319977,1.0141786472,35.2291000000
1974-01-08,-0.0000131776,0.9999472906,35.2291000000,0.0168372335,1.0294272770,35.2291000000,0.0192355564,1.0336869378,35.2291000000
1974-01-09,-0.0126467399,0.9873012173,35.2291000000,-0.0126467399,1.0164083780,35.2291000000,-0.0126467399,1.0206141680,35.2291000000
1974-01-10,-0.0129796028,0.9744864397,35.2291000000,-0.0129796028,1.0032158010,35.2291000000,-0.0129796028,1.0073670015,35.2291000000
1974-01-11,0.0053392260,0.9796894429,35.2291000000,0.0053392260,1.0085721968,35.2291000000,0.0053392260,1.0127455615,35.2291000000
1974-01-14,0.0083678420,0.9878873295,35.2291000000,0.0083678420,1.0170117696,35.2291000000,0.0083678420,1.0212200564,35.2291000000
1974-01-15,0.0082337089,0.9960213061,35.2291000000,0.0082337089,1.0253855485,35.2291000000,0.0082337089,1.0296284850,35.2291000000
1974-01-16,-0.0018349724,0.9941936346,35.2291000000,-0.0018349724,1.0235039943,35.2291000000,-0.0018349724,1.0277391452,35.2291000000
1974-01-17,0.0131263575,1.0072437756,35.2291000000,0.0131263575,1.0369388736,35.2291000000,0.0131263575,1.0412296166,35.2291000000
1974-01-18,-0.0019877723,1.0052416043,35.2291000000,-0.0019877723,1.0348776753,35.2291000000,-0.0019877723,1.0391598893,35.2291000000
1974-01-21,0.0540818035,1.0596068832,35.2291000000,0.0540818035,1.0908457263,35.2291000000,0.0540818035,1.0953595301,35.2291000000
1974-01-22,-0.0069003840,1.0522951888,35.2291000000,-0.0069003840,1.0833184719,35.2291000000,-0.0069003840,1.0878011287,35.2291000000
1974-01-23,-0.0096837165,1.0421050605,35.2291000000,-0.0096837165,1.0728279229,35.2291000000,-0.0096837165,1.0772671710,35.2291000000
1974-01-24,-0.0062315796,1.0356110999,35.2291000000,-0.0062315796,1.0661425104,35.2291000000,-0.0062315796,1.0705540949,35.2291000000
1974-01-25,0.0117997882,1.0478310915,35.2291000000,0.0117997882,1.0787227662,35.2291000000,0.0117997882,1.0831864065,35.2291000000
1974-01-28,0.0050290764,1.0531007141,35.2291000000,0.0050290764,1.0841477453,35.2291000000,0.0050290764,1.0886338336,35.2291000000
1974-01-29,-0.0025358195,1.0504302408,35.2291000000,-0.0025358195,1.0813985423,35.2291000000,-0.0025358195,1.0858732547,35.2291000000
1974-01-30,-0.0117251425,1.0381137965,35.2291000000,-0.0117251425,1.0687189903,35.2291000000,-0.0117251425,1.0731412361,35.2291000000
